Metabolites,Count_-2_4,Count_-6_pre,Count_-6_6,Count_-6_8,Count_-2_10,Count_-6_10,Count_-2_8,Count_-2_6,Count_-6_2,Count_-6_4,Count_-2_pre,Count_-2_2,Mean_-2_4,Mean_-6_pre,Mean_-6_6,Mean_-6_8,Mean_-2_10,Mean_-6_10,Mean_-2_8,Mean_-2_6,Mean_-6_2,Mean_-6_4,Mean_-2_pre,Mean_-2_2,P_value_A_-2_4_vs_-6_4,P_value_A_-6_pre_vs_-2_pre,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,P_value_A_-6_2_vs_-2_2,Flag_A_-2_4_vs_-6_4,Flag_A_-6_pre_vs_-2_pre,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,Flag_A_-6_2_vs_-2_2,,Negative means -2 is significantly larger
Caprylic acid,2,3,3,3,3,3,3,3,3,3,3,2,13.21354608,13.46609149,13.55123122,13.71471315,13.41091714,13.53408458,14.03673893,13.58714962,13.75163294,13.45297718,13.5680996,13.53936805,0.453310716,0.719590267,0.899275754,0.263300913,0.664884573,0.505575493,0,0,0,0,0,0,,
Carbonate ion,2,3,3,3,3,3,3,3,3,3,3,2,19.98323069,20.06429918,19.52901451,20.22754329,20.04577985,20.20814774,20.55711049,20.10672214,20.19319842,19.66409224,19.86825491,20.14821429,0.4065686,0.567047243,0.100857954,0.339210082,0.635042533,0.906142562,0,0,0,0,0,0,,
D-arabitol,1,3,2,2,1,2,3,2,3,2,3,2,13.40334986,14.69966381,13.47892662,12.45366503,10.18169222,11.84022447,13.29977078,12.20678245,13.59903016,12.69972246,14.03774905,13.40612085,0.450473019,0.291804193,0.107630488,0.230921624,0.088636833,0.779399372,0,0,0,0,0,0,,
D-fructose,2,3,3,3,3,3,3,3,3,3,3,2,16.65081002,16.65962892,16.89242351,16.86069941,16.875894,17.00826217,17.15417431,17.06668119,16.86054638,16.79564266,17.10221351,17.07736576,0.379387072,0.005671155,0.240349084,0.054367073,0.369264493,0.192975899,0,-1,0,0,0,0,,
D-galactose,2,3,3,3,3,3,3,3,3,3,3,2,15.78733489,15.88761857,15.67173714,16.43627455,16.25323777,16.66959531,16.01991701,15.2553796,16.56348185,16.20369242,15.47126104,16.14712432,0.596320844,0.554022664,0.554022664,0.554022664,0.554022664,0.596320844,0,0,0,0,0,0,,
D-glucose,2,3,3,3,3,3,3,3,3,3,3,2,19.63777841,19.44238766,18.69770489,18.92707847,18.15618068,20.07238641,19.33094773,18.34190819,18.98170337,19.22826332,19.34088797,18.33269526,0.531498642,0.861770971,0.54321169,0.490658439,0.003067343,0.324625561,0,0,0,0,-1,0,,
D-mannitol,2,3,3,3,3,3,3,3,3,3,3,2,18.00990515,18.9131956,17.7715701,18.0374642,17.27489554,18.63198634,18.45904656,17.94640071,18.45687004,17.9584412,19.86031882,18.15940914,0.910561731,0.028881745,0.670245987,0.309315677,0.002896222,0.518134699,0,-1,0,0,-1,0,,
D-xylose,2,3,3,3,3,3,3,3,3,3,3,2,12.89459078,13.8474792,13.35294943,13.29890144,12.89820729,13.34153666,13.23506518,12.04520954,13.48571944,12.92900604,13.63836632,12.12531288,0.933969666,0.574909609,0.001750888,0.863615188,0.240259499,0.003165023,0,0,1,0,0,1,,
Ethanolamine,2,3,3,3,3,3,3,3,3,3,3,2,14.43709291,14.85196773,14.89961921,15.32381121,14.54406283,15.34527426,15.08946872,15.24922294,15.23548923,15.07905647,15.20141034,15.19049126,0.09175647,0.294881092,0.294664071,0.479345154,0.022205846,0.902762947,0,0,0,0,-1,0,,
Fumaric acid,2,3,3,3,3,3,3,3,3,3,3,2,14.28938369,14.06507318,13.06217038,14.04507731,13.93233888,13.76876772,14.20864847,13.22574154,13.77728095,14.12581253,14.22864434,13.94085211,0.823153303,0.802715289,0.802715289,0.802715289,0.802715289,0.823153303,0,0,0,0,0,0,,
Gerulic acid,1,3,3,3,3,3,3,3,3,3,3,2,13.03232686,14.35574931,14.59224549,14.3382146,14.72833969,14.84148439,14.24303377,14.15779899,14.039278,14.3710456,14.27025998,14.07255269,0.008412831,0.79540781,0.196308244,0.772861956,0.731624578,0.928021589,-1,0,0,0,0,0,,
Glucosamine-1-phosphate,2,3,3,3,3,3,3,3,3,3,3,2,17.51290603,16.79818196,17.58437076,17.63623656,17.57324303,17.49137385,17.94603013,17.76086032,17.72394147,17.45426108,17.77996153,17.72729947,0.879609071,0.008934597,0.611283895,0.375260515,0.813188338,0.993078327,0,-1,0,0,0,0,,
Glycerol,2,3,3,3,3,3,3,3,3,3,3,2,19.38678065,19.51639023,19.19860649,19.28167882,19.45090626,19.16110245,19.51772446,18.78084753,19.14255774,19.04162441,19.2326597,18.74242791,0.440895042,0.478288812,0.299708215,0.554558182,0.46903258,0.372742933,0,0,0,0,0,0,,
Glycerol 3-phosphate,2,3,3,3,3,3,3,3,3,3,3,2,14.82612016,14.13502735,14.62291723,14.02116702,15.15386174,14.04272019,14.30671481,15.12269984,14.28838253,14.92410707,13.79372118,15.0142676,0.8362359,0.424034354,0.24564189,0.502656151,0.014562519,0.135511825,0,0,0,0,1,0,,
Glycolic acid,2,3,3,3,3,3,3,3,3,3,3,2,13.65960055,13.76304098,13.75533352,13.80941121,13.79736341,14.01896024,14.04974923,14.03558782,13.87289989,13.84126042,14.17640206,13.96556522,0.339562783,0.021109693,0.106349733,0.16282612,0.196685811,0.623440101,0,-1,0,0,0,0,,
Heptadecanoic acid,2,3,3,3,3,3,3,3,3,3,3,2,14.81200461,15.00439857,14.93329889,15.02783809,14.91314139,15.07713511,15.1659909,15.02928984,14.99071112,14.88592833,15.21171419,15.05051946,0.646519183,0.158992458,0.506682614,0.341841641,0.261179835,0.710379302,0,0,0,0,0,0,,
Isomaltose,2,3,3,2,3,3,3,3,3,3,3,2,12.57748409,14.85401634,13.55944284,13.96738591,13.98853065,10.96110466,13.54725205,13.58891799,13.27910116,12.29705151,14.19308909,14.13164947,0.82495982,0.56141349,0.979253017,0.740565196,0.013319663,0.503412883,0,0,0,0,1,0,,
Lactic acid,2,3,3,3,3,3,3,3,3,3,3,2,15.93200808,15.98826557,15.86145312,15.40132574,15.61643292,15.49736753,15.42966758,15.91817959,15.24506891,15.08842068,16.04740973,16.02591788,0.036976291,0.863398741,0.868927586,0.934274814,0.729344464,0.051881773,1,0,0,0,0,0,,
Lauric acid,2,3,3,3,3,3,3,3,3,3,3,2,14.35212674,14.29322176,14.4544233,14.48491433,14.39138473,14.28972689,14.46013245,14.60811947,14.71077292,14.59393313,14.57700148,14.74373377,0.183745337,0.085453938,0.339994313,0.876471616,0.525526257,0.853309249,0,0,0,0,0,0,,
L-glutamic acid,2,3,3,3,3,3,3,3,3,3,3,2,16.18518494,16.63525232,16.49492127,16.38306663,16.58242148,17.06290343,16.63414954,16.42770915,16.29824036,16.24492446,17.16689184,16.60117224,0.857613261,0.084591643,0.821487496,0.402839126,0.11683289,0.367285666,0,0,0,0,0,0,,
Linoleic acid,2,3,3,3,3,3,3,3,3,3,3,2,16.54237631,17.31333548,16.7204673,16.7196237,16.62164794,17.2007184,16.83550087,17.03105114,17.03279949,16.98700392,17.03823117,17.12504194,0.129569646,0.28776713,0.231726096,0.650830098,0.031769027,0.746973234,0,0,0,0,-1,0,,
L-pyroglutamic acid,2,3,3,3,3,3,3,3,3,3,3,2,12.83770876,13.14068437,13.02528484,12.89987206,12.78464941,12.87395499,12.81056648,12.93597926,13.09419178,12.92701434,13.0513788,13.0048862,0.824793641,0.80453717,0.80453717,0.80453717,0.80453717,0.824793641,0,0,0,0,0,0,,
L-Sorbose,2,3,3,3,2,2,3,2,3,3,3,2,11.42775804,14.28305104,11.72711349,12.29789657,9.592334052,12.83689642,13.06596766,10.66277875,12.50166091,12.11315141,13.6543546,10.56046922,0.54474868,0.534623574,0.350257381,0.449223363,0.015298776,0.09684471,0,0,0,0,-1,0,,
Maltose,2,2,3,3,3,3,3,3,3,3,3,2,12.13865528,12.96250208,13.09833889,13.44326178,13.19710844,13.68596802,12.95440221,12.60947932,12.87277287,12.62751486,12.4736425,12.38391329,0.685191374,0.685191374,0.65053883,0.65053883,0.65053883,0.685191374,0,0,0,0,0,0,,
Myo-inositol,2,3,3,3,3,3,3,3,3,3,3,2,17.53232117,18.01905317,17.71954467,17.76018795,17.52235487,17.64339119,18.13987535,17.83397959,17.76022573,17.47666441,18.20900616,17.65591244,0.839714997,0.443149578,0.642643439,0.132790105,0.623689286,0.704964627,0,0,0,0,0,0,,
Myristic acid,2,3,3,3,3,3,3,3,3,3,3,2,14.63296026,14.28135304,13.7455494,15.99815914,15.73391651,15.54075473,17.03380954,16.06510024,15.55041664,14.86961222,16.82569408,15.50284505,0.889605806,0.105556013,0.138116873,0.499231234,0.899199868,0.977735488,0,0,0,0,0,0,,
nonanoic acid,2,3,3,3,3,3,3,3,3,3,3,2,18.62376338,18.38979627,18.49953583,18.65800388,18.51018339,18.69829225,18.802453,18.85339342,18.62063293,18.57269001,18.81332478,18.57227052,0.752798883,0.007287935,0.021724844,0.324205802,0.202633836,0.765498003,0,-1,-1,0,0,0,,
Oleic acid,2,3,3,3,3,3,3,3,3,3,3,2,15.75787852,16.09145892,15.97214388,15.85674268,15.78033356,16.09360179,16.08331615,16.11646955,15.9551038,16.08355907,16.0991455,16.11575847,0.110685078,0.965413692,0.419072267,0.209505443,0.087655815,0.421080922,0,0,0,0,0,0,,
Palatinitol,1,3,3,3,3,3,3,3,3,3,3,2,13.63170615,13.73931125,13.91685977,13.55373127,11.83711411,12.92205488,14.96816948,15.15549031,13.97993244,12.17637865,14.07754261,13.72412647,0.353261524,0.758105867,0.266054923,0.206077374,0.328294404,0.834870821,0,0,0,0,0,0,,
Palatinose,2,3,3,3,3,3,3,3,3,3,3,2,14.29071244,14.35489322,14.20712761,14.66382743,14.59788734,14.84863852,14.41307626,13.95637643,13.78384527,14.54146362,14.10414204,13.5330941,0.651470944,0.613740804,0.613740804,0.613740804,0.613740804,0.651470944,0,0,0,0,0,0,,
Palmitic acid,2,3,3,3,3,3,3,3,3,3,3,2,22.02767725,22.23372845,22.17584113,21.99380505,22.11013634,21.91042049,22.10880655,22.08278789,21.83657225,22.11519102,22.55794887,21.88420325,0.644884269,0.065875671,0.584143329,0.499538426,0.245849547,0.801599735,0,0,0,0,0,0,,
Palmitoleic acid,2,3,3,3,3,3,3,3,3,3,3,2,14.07631907,14.3705109,14.30867732,14.30725437,14.33511286,14.44641825,14.45490882,14.56506962,14.41705391,14.31656739,14.54967744,14.53743817,0.145021742,0.220929906,0.085126667,0.310429311,0.442170476,0.457003738,0,0,0,0,0,0,,
pentasiloxane,2,3,3,3,3,3,3,3,3,3,3,2,16.19846617,17.90290043,16.72434149,17.54218331,17.45154342,17.8400375,17.15368923,16.33584741,16.86442191,16.58696026,17.51440635,16.47592782,0.608257756,0.566896358,0.566896358,0.566896358,0.566896358,0.608257756,0,0,0,0,0,0,,
Porphine,2,3,3,3,3,3,3,3,3,3,3,2,17.55150592,18.05814199,17.69951089,18.22693993,18.34981193,18.41038447,18.65413912,18.70971127,18.76923229,17.413753,18.22935097,18.53609772,0.787372005,0.70802596,0.035621273,0.354083008,0.894440971,0.648554297,0,0,-1,0,0,0,,
Scyllo-inositol,2,3,3,3,3,3,3,3,3,3,3,2,12.57287985,14.49879382,14.33442938,13.53874961,12.57095038,13.05362113,13.33884228,13.11199352,14.4800713,14.06740397,14.37224688,14.10897379,0.062872066,0.854550629,0.086941163,0.772262601,0.486709448,0.631424202,0,0,0,0,0,0,,
Stearic acid,2,3,3,3,3,3,3,3,3,3,3,2,22.28713209,22.3162311,22.2469152,21.86693665,22.05135372,21.68420509,21.88581099,22.00767694,21.59333285,22.06179461,22.48549114,21.64802835,0.328866153,0.41071931,0.248547733,0.926343363,0.082547988,0.810733351,0,0,0,0,0,0,,
Succinic acid,2,3,3,3,3,3,3,3,3,3,3,2,16.4528136,16.57563183,16.67863441,16.62985458,16.71091322,16.59899907,16.73425039,16.53914323,16.80556414,16.74352231,16.97256355,16.79426879,0.191742561,0.051835239,0.477575234,0.594113058,0.568010811,0.958737254,0,0,0,0,0,0,,
Sucrose,2,3,3,3,3,3,3,3,3,3,3,2,19.32792485,18.84314559,19.23975842,19.02583826,18.22150649,20.04924372,18.36606147,17.67405895,19.01914901,19.4668336,17.71477353,18.15140849,0.828382936,0.058889174,0.01131007,0.25652002,0.003875743,0.184390399,0,0,1,0,-1,0,,
Tagatose,2,3,3,3,3,3,3,3,3,3,3,2,17.67840261,18.19160911,16.99421188,17.04021132,15.70955502,17.95674179,17.15087115,15.99126499,16.9624765,17.35076276,17.15899648,16.54946186,0.626571951,0.096042816,0.105370209,0.853885213,0.001019799,0.540300328,0,0,0,0,-1,0,,
Trehalose,2,3,3,3,3,3,3,3,3,3,3,2,25.01130222,25.03313817,24.91477177,25.00266984,24.9454944,24.76654772,25.18161652,25.09371845,24.96335357,24.83235554,25.21208485,25.14230025,0.386524555,0.334004356,0.334004356,0.334004356,0.334004356,0.386524555,0,0,0,0,0,0,,
Turanose,2,3,3,3,3,3,3,3,3,3,3,2,13.94454765,13.97495265,13.21515864,13.93825283,13.91128011,13.55079217,14.06485832,13.63620598,14.01337358,12.49829336,13.21184554,14.79660684,0.173666059,0.415740779,0.65167688,0.891794179,0.6989435,0.454456405,0,0,0,0,0,0,,
Ursolic acid,2,3,3,3,3,3,3,3,3,3,3,2,17.19555859,16.46094328,16.67353212,16.35638596,16.03967502,16.26432561,15.96178842,16.65054827,16.31677432,16.4281753,16.25403034,16.56192463,0.066166905,0.565940068,0.948965903,0.278360681,0.533397338,0.543162899,0,0,0,0,0,0,,
1-Octadecanol,2,3,3,3,3,3,3,3,3,3,3,2,15.37544264,15.19928948,15.5324324,15.6137592,15.42436858,15.64108154,15.70279133,15.39243761,15.45977943,15.55656263,15.73923966,15.61673841,0.277610808,0.001218503,0.346478589,0.546918773,0.150614297,0.345151957,0,-1,0,0,0,0,,
3-Methoxy-4-hydroxyphenol 1-O-?-D-glucopyranoside,2,3,3,3,3,2,3,3,3,3,3,2,13.9830656,13.78354326,11.84489901,13.07656061,12.21031829,14.65163899,12.43127574,12.20978326,12.77904589,12.97621689,13.37024293,13.23771079,0.531584482,0.773203506,0.799121684,0.653217768,0.137922345,0.774832857,0,0,0,0,0,0,,
4-Diphenylphosphinoyl-5-methylhex-2-enyl tert-butyl(dimethyl)silyl ether,2,3,3,3,3,3,3,3,3,3,3,2,15.1822008,14.92203321,15.04151685,15.19697852,14.84121966,14.92748384,14.94870375,14.59121167,14.94760108,15.19605423,15.2453746,14.96176588,0.964650291,0.254621846,0.117538006,0.378816816,0.757921832,0.963856353,0,0,0,0,0,0,,
Azelaic acid,2,3,3,3,3,3,3,3,3,3,3,2,14.17860612,14.2129927,14.44008041,14.57946826,14.52186983,14.77317448,14.78725237,15.18692293,14.82954052,14.94603096,14.92118105,15.1017476,0.062582559,0.055295357,0.044206159,0.558696669,0.480202661,0.493844972,0,0,-1,0,0,0,,
Lignoceric acid,2,3,3,3,3,3,3,3,3,3,3,2,15.32847034,15.4962312,15.67293983,15.11142411,16.52604319,15.86103713,15.52327139,14.62080939,15.50245499,15.38626781,15.00123264,15.56977428,0.947886313,0.533238151,0.192160887,0.603676777,0.404237451,0.939317336,0,0,0,0,0,0,,
Monomethyl succinic acid,2,3,3,3,3,3,3,3,3,3,3,2,14.47380919,14.93286821,14.42375716,14.52354298,14.72232439,14.48052953,14.76533783,14.66555202,14.16619675,14.23201433,15.17466307,14.40799161,0.640354722,0.601656259,0.601656259,0.601656259,0.601656259,0.640354722,0,0,0,0,0,0,,
Sugars - Disaccharide1,2,3,3,3,3,3,3,3,3,3,3,2,15.4892786,15.36981893,14.24855588,15.31659171,16.02372408,14.90070183,15.74043879,14.92542556,15.68679371,14.39307877,14.78959008,15.49219725,0.171300574,0.411646677,0.339532936,0.547238579,0.119520595,0.804107587,0,0,0,0,0,0,,
Sugars - Disaccharide2,2,3,3,3,3,3,3,3,3,3,3,2,14.77667257,14.62396487,13.60015581,14.53847163,15.23543731,14.00485577,14.97787086,14.17083693,14.95198716,13.8007193,14.03879648,14.7591824,0.232141627,0.418942847,0.430383726,0.542583274,0.097231496,0.810448429,0,0,0,0,0,0,,
Sugars - Disaccharide3,2,3,3,3,3,3,3,3,3,3,3,2,13.12866868,13.34084649,12.84818964,12.89944452,12.20220898,12.82109523,12.78270055,12.53896956,12.84999847,12.59683979,12.64610827,12.87199113,0.176039203,0.053336902,0.373303262,0.734771027,0.082563851,0.954419592,0,0,0,0,0,0,,
Sugars - Disaccharide4,2,3,3,3,3,3,3,3,3,3,3,2,14.5253416,13.67662049,13.7493775,13.60958807,14.00556583,13.80153516,14.22833219,13.45899559,13.14005718,13.32003022,14.14669528,14.02637507,0.077040318,0.427252734,0.62227079,0.298564551,0.728868255,0.186331242,0,0,0,0,0,0,,
Sugars - Disaccharide5,2,3,3,3,3,3,3,3,3,3,3,2,17.26253291,17.00119021,16.93975826,17.27566605,17.31286857,17.21724341,17.22788638,17.28004279,17.2552162,17.11606939,17.51937866,17.21834017,0.616710577,0.057044553,0.200797272,0.854788194,0.714475923,0.899445741,0,0,0,0,0,0,,
Sugars - Disaccharide6,2,3,3,3,3,3,3,3,3,3,3,2,16.39125861,15.85124781,15.82538016,15.96524121,15.58433552,15.90173152,16.23963289,16.2981023,15.99132189,15.89954095,16.05002748,16.12963845,0.242308613,0.592540268,0.20993794,0.461409183,0.395227306,0.738574138,0,0,0,0,0,0,,
Sugars - Monosaccharide - Deoxy,2,3,3,3,3,3,3,3,3,3,3,2,13.85485366,13.76962848,13.0039856,13.55904267,12.99745865,13.71242239,13.65909994,13.71001906,13.49595976,13.61541537,13.70175779,13.3071187,0.671958063,0.893044527,0.171086109,0.842915019,0.165963258,0.738198803,0,0,0,0,0,0,,
Sugars - Monosaccharide - Phosphate,2,3,3,3,3,3,3,3,3,3,3,2,14.53295287,13.72628798,14.24941526,13.98768025,14.22560532,13.78718666,14.42609891,14.68783393,14.18514973,14.0945342,14.16470665,14.6235684,0.376551386,0.323916403,0.323916403,0.323916403,0.323916403,0.376551386,0,0,0,0,0,0,,
Sugars - Monosaccharide Hexose1,2,3,3,3,3,3,3,3,3,3,3,2,14.08698299,14.73102333,14.27078386,14.19667616,13.58600004,13.73796421,14.04471198,14.11881969,14.31285599,14.23894717,14.57905916,14.16089182,0.70246808,0.669452873,0.669452873,0.669452873,0.669452873,0.70246808,0,0,0,0,0,0,,
Sugars - Monosaccharide Hexose2,2,3,3,3,3,3,3,3,3,3,3,2,13.58027251,14.33327507,12.87402431,13.65740361,12.71223029,13.4788614,14.41899441,13.35291437,13.40628323,13.55061668,14.46499985,13.86018789,0.970262567,0.853182445,0.503134589,0.290706341,0.287606702,0.569723947,0,0,0,0,0,0,,
Sugars - Monosaccharide Hexose3,2,3,3,3,3,3,3,3,3,3,3,2,13.34578344,13.96441366,12.40781921,13.29002641,11.89049194,13.46549057,13.82827253,12.57421417,12.75688406,13.11112558,14.25713678,13.67434789,0.725730304,0.625113868,0.780806914,0.372052898,0.014100552,0.178660217,0,0,0,0,-1,0,,
Sugars - Trisaccharide1,2,3,3,3,3,3,3,3,3,3,3,2,18.5114584,19.14804559,18.68714656,18.78265361,19.01864367,18.59522453,19.20607275,19.11056571,18.74518886,18.08803926,19.57146473,19.168608,0.540346427,0.494086798,0.494086798,0.494086798,0.494086798,0.540346427,0,0,0,0,0,0,,
Sugars - Trisaccharide2,2,3,3,3,3,3,3,3,3,3,3,2,19.26729156,18.85180319,19.47962168,18.35199112,19.39241734,18.89840447,18.22974648,18.63023221,18.68435692,19.29937781,17.73114119,17.59866191,0.967442791,0.121204335,0.234701167,0.862022585,0.484779342,0.176383138,0,0,0,0,0,0,,
Sugars - Trisaccharide3,2,3,3,3,3,3,3,3,3,3,3,2,16.2388161,17.01285644,16.77131554,16.56149366,15.0440896,16.89928077,16.82523472,16.02078861,17.01741664,16.70406674,17.11773019,17.28055959,0.362249753,0.816776792,0.107480509,0.561403997,0.000420346,0.603985374,0,0,0,0,-1,0,,
Corosolic acid,2,3,3,3,3,3,3,3,3,3,3,2,19.92228385,19.4156723,19.66443315,19.38224243,19.16561244,19.35435636,18.99836094,19.42071041,19.13409847,19.40851943,19.2079945,19.35453782,0.11455575,0.465559193,0.392877959,0.183671807,0.506752739,0.488177899,0,0,0,0,0,0,,
1-(4-(4'-chlorophenyl)-2-thiazolyl)-3-(2-hydroxy-phenyl)-5-(2-butyl-4-chloro-1H-imidazol,2,3,3,3,3,3,2,3,2,1,3,1,12.8216768,12.53384475,12.51913133,11.75626799,12.15286118,11.99510963,10.45651601,12.9456351,12.44176705,12.93770238,10.988855,8.235702421,0.945022068,0.180124065,0.704362444,0.307595555,0.888180831,0.021268811,0,0,0,0,0,1,,
1,2-cyclohexanedione,2,3,3,3,3,3,3,3,3,3,3,2,12.43646861,12.20257532,11.85528885,13.48109141,12.81759563,13.3909321,13.78114054,13.59749374,13.46904215,12.08308843,13.42657676,13.04259929,0.680689597,0.12056165,0.031391757,0.69599299,0.457382416,0.619778876,0,0,-1,0,0,0,
3-(4-hydroxyphenyl)propionic acid (phloretic acid),2,3,3,3,3,3,3,3,3,3,3,2,13.4493329,13.5834357,13.43307214,13.66083502,13.62630136,13.64601387,13.93350819,13.8316465,13.69667155,13.46966701,14.24516392,13.8067793,0.942018436,0.013779091,0.121162343,0.281958334,0.937166633,0.694198031,0,-1,0,0,0,0,,
Alizarin,2,3,3,3,3,3,3,3,3,3,3,2,13.03925587,12.9511258,13.42509721,13.51972541,13.63011983,12.93897332,13.05093028,12.46955565,12.42859547,13.33172401,12.25019898,13.36363518,0.737929474,0.373737807,0.228844658,0.549892612,0.380322445,0.290383142,0,0,0,0,0,0,,
